Rows & Cols, Channels, Filters, Memory Usage,,WS-1-ex, WS-(MAC/CYCLE),IM2COL-IC-1EX ,IM2C IC  (MAC/CYCLE), IM2C OC 1 EX, IM2C OC  (MAC/CYCLE), CONV OC 1 EX, CONV OC  (MAC/CYCLE)
16, 23, 18, 51kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 19, 52kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 20, 54kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 21, 56kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 22, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 23, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 24, 60kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 25, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 26, 63kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 27, 65kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 28, 67kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 29, 68kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 30, 70kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 31, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 32, 73kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 23, 48, 98kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 23, 64, 123kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 23, 80, 148kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 23, 96, 174kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 23, 112, 199kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 23, 128, 224kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 23, 144, 249kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 24, 16, 49kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 24, 17, 51kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 18, 52kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 19, 54kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 20, 56kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 21, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 22, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 23, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 24, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 25, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 26, 65kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 27, 67kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 28, 69kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 29, 70kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 30, 72kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 31, 73kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 32, 75kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 24, 48, 101kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 24, 64, 127kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 24, 80, 152kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 24, 96, 178kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 24, 112, 204kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 24, 128, 230kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 24, 144, 255kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 25, 16, 51kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 25, 17, 52kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 18, 54kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 19, 56kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 20, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 21, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 22, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 23, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 24, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 25, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 26, 67kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 27, 69kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 28, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 29, 72kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 30, 74kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 31, 75kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 32, 77kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 25, 48, 103kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 25, 64, 130kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 25, 80, 156kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 25, 96, 182kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 25, 112, 209kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 25, 128, 235kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 25, 144, 261kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 26, 16, 52kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 26, 17, 54kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 18, 56kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 19, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 20, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 21, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 22, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 23, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 24, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 25, 67kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 26, 69kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 27, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 28, 73kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 29, 74kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 30, 76kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 31, 78kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 32, 79kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 26, 48, 106kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 26, 64, 133kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 26, 80, 160kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 26, 96, 187kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 26, 112, 214kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 26, 128, 241kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 26, 144, 267kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 27, 16, 54kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 27, 17, 56kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 18, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 19, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 20, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 21, 63kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 22, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 23, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 24, 68kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 25, 69kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 26, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 27, 73kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 28, 75kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 29, 76kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 30, 78kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 31, 80kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 32, 81kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 27, 48, 109kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 27, 64, 136kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 27, 80, 164kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 27, 96, 191kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 27, 112, 219kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 27, 128, 246kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 27, 144, 273kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 28, 16, 56kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 28, 17, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 18, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 19, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 20, 63kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 21, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 22, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 23, 68kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 24, 70kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 25, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 26, 73kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 27, 75kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 28, 77kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 29, 78kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 30, 80kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 31, 82kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 32, 84kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 28, 48, 112kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 28, 64, 140kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 28, 80, 168kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 28, 96, 196kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 28, 112, 224kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 28, 128, 252kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 28, 144, 280kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 29, 16, 57kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 29, 17, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 18, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 19, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 20, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 21, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 22, 68kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 23, 70kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 24, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 25, 73kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 26, 75kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 27, 77kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 28, 78kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 29, 80kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 30, 82kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 31, 84kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 32, 86kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 29, 48, 114kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 29, 64, 143kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 29, 80, 171kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 29, 96, 200kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 29, 112, 228kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 29, 128, 257kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 29, 144, 286kB, ,2871, ,1444 , ,55927, ,61848, ,
